MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-206.36710458596576,-242.3563180896946,-127.6414875700878,-234.4364303151712
-260.37848969726133,-147.30294482606192,-290.16767114995486,-171.3131100684794
-246.239081509058,-178.28014715491486,-146.15237910367694,-135.2980743942844
-233.47669357635596,-150.00540669326074,-166.29556574166747,-172.58858412426954
-194.08970081332154,-139.86979743408807,-206.2935087442664,-186.17573832731978
-217.9988186480922,-296.97552121028855,-633.3354951411089,-234.0828172346437
-213.92550812774098,-135.44227487431678,-113.97705770042495,-184.17618942816958
-209.53507135644446,-181.26039901829486,-103.39386873167268,-162.15717109942287
-217.46318182548637,-167.47003962990956,-495.658887373061,-231.72651730898468
-261.94950555892484,-182.19672846431388,-534.4518484176403,-215.65268801826505
-225.4063959126188,-130.29295215672346,-908.0950349968965,-211.72051184947915
-211.78905822757417,-234.66222463185193,-79.55063657191637,-189.26968673700964
-278.4074177474705,-152.61836172149305,-213.6055216555893,-271.709776570233
-193.25446150057542,-242.6469829717945,-152.18867561863243,-151.77833796072926
-284.3008504211851,-123.29636997618582,-164.52140929674246,-206.51543818367577
-228.70372323172447,-147.7628430340477,-130.89995378676895,-220.1441417456099
-298.7170421177195,-94.3796872181818,-172.96868274817396,-241.15063236892976
-232.2879317213276,-204.9658987503904,-106.76455721514927,-192.58332701895938
-194.6978815499794,-209.79985406479267,-154.46642644438063,-189.0294675862779
-287.2264721953201,-99.75858979350994,-213.0729165855065,-272.7146123430584
-277.7101005429827,-179.28555786875145,-158.8149065370804,-162.00952360690525
-204.30514398713768,-244.59703834723715,-468.84955227896285,-181.46148290966696
-180.91926788012697,-270.44658638371277,-108.20646326719623,-225.37626060931308
-203.3953198768804,-118.55354848250909,-101.84607169236475,-143.6297262835626
-191.73014224277557,-131.08045809358015,-156.93439188814654,-170.82722504172528
-216.73302528706023,-182.3349045685333,-116.59246082109672,-120.59135273939336
-220.2465042026295,-179.20318610200894,-115.13859458118537,-186.28946996067035
-216.37238721752783,-222.4487960162939,-228.42158528800502,-218.44515185698114
-253.86804548003818,-321.26033972925063,-243.77478746027302,-193.34186753434062
-198.8573169473924,-92.8589257567196,-151.3529862803942,-170.69201766036016
-168.89682432233178,-94.14093234454796,-111.46986378929829,-102.64620884497376
-207.16501420732476,-174.74775233025633,-93.96159940819797,-215.2218242210276
-911.74207589744,-199.2051121753108,-135.07574614355244,-180.64846691524411
-193.65883436627777,-206.32016448442124,-148.56043027273824,-156.86723834166997
-267.24189198354924,-229.06355591974688,-157.74204080430854,-209.0965980759193
-267.22374023677844,-102.50703368171676,-118.11488938117705,-156.47149681802563
-313.784178954916,-191.39407670913505,-149.46488770790285,-100.27178796906817
-281.92326660125616,-198.5776014522542,-247.43697038263332,-253.3257843522714
-317.37338012808505,-212.0372836399231,-102.28659423668776,-84.10626022959214
-285.9604242407581,-208.37853335648947,-144.3147058363357,-124.23138694895269
-661.6570003588131,-175.9221826816954,-90.36619332463157,-129.4326990673406
-348.99050299570285,-193.59783655016554,-336.7619339347698,-113.70336131806425
-339.4487029629522,-174.91731628100965,-370.09454175910616,-273.42405327348615
-341.86055687844964,-150.29018792046298,-260.58863350646516,-83.17942223820924
-330.5818418699064,-224.0870749951844,-198.38495227790543,-220.58128448433357
-276.68249101296794,-172.96594968376655,-280.58008954638353,-131.6782064982998
-316.93472036307924,-216.261487928681,-259.9482335029463,-206.2585338034007
-297.95419533590723,-158.12283203456602,-189.71738285616763,-128.77085604412292
-218.60826556479108,-276.78875351801497,-154.96208012984823,-279.0281957723553
-331.8795541804938,-171.34811286425702,-271.16634107737883,-244.49314926037283
-302.86072681904113,-176.80847927709067,-663.2986782773776,-121.2403457323827
-362.5577299828981,-177.64584915231652,-110.80113886112508,-234.0718900348449
-711.0297785030626,-205.13714037910944,-139.6208415826563,-244.30366044836254
-324.62203143413024,-268.3611788966647,-766.5509852571643,-219.6317534127902
-249.30307470157402,-202.67531266103427,-300.97154067658283,-254.42245714228739
-317.94331358362626,-135.2247658823237,-242.49502930451496,-230.6221218642329
-1119.5671178517375,-234.63269563500324,-238.61837723579103,-311.84563075547726
-969.1714229677848,-191.46754684795857,-230.97056643539807,-250.57503160437238
-218.45289837837214,-181.0348448134768,-364.26683360449334,-216.39386341455165
-150.34581951864362,-205.12771418143944,-254.15398307352834,-234.1959217353084
-163.27250431863283,-245.38000517010497,-1074.9818041985527,-243.58926475637097
-126.34961093947096,-209.43504404855486,-200.72476050287622,-129.910393968348
-116.07363076394506,-213.98092965847746,-243.81191790934136,-195.55818924018038
-148.66568471011942,-149.00646004832905,-196.2408173557592,-90.4425407040961
-142.212352786174,-204.0848906582905,-310.90574272593597,-266.91565834460465
-194.08461585884663,-205.8648960291469,-160.51281869572563,-181.9908104869138
-187.3670941944653,-189.67629338749379,-263.88227350523283,-254.46500556898093
-198.27169000894511,-145.75286705377528,-249.03061009289968,-189.53014958379305
-202.9427629511311,-205.03771766018545,-221.62041691781695,-194.92746985751205
-152.9887472185829,-170.10154851120012,-168.7448038141552,-188.25913468817774
-162.19379713986186,-201.37213438653038,-267.02825958691943,-181.2562766102432
-169.46359672799088,-166.90868595546078,-112.03113362068433,-141.03869494984644
-241.5250002028746,-118.08317016699719,-140.63652713425967,-160.87807284856098
-276.99760434820263,-205.6813613843282,-97.5772149417984,-107.9647123025328
-189.71737155266297,-138.21262109196857,-149.94193255354105,-155.49716475897338
-190.57527960449437,-133.73533943318978,-185.03924243750765,-137.0993302214158
-177.40935212499272,-140.2493739790604,-107.81820776075693,-124.6458037939398
-234.10973624495267,-119.30918511572068,-259.22210593693984,-142.64835040124373
-224.365348373315,-309.14899121937543,-86.43774761203639,-142.82944610263175
-230.20030523620204,-249.71358908522396,-154.92985043223004,-120.99410572739465
-150.90012038544756,-110.0437454113974,-86.17027854396787,-86.89744238921386
-256.60903441603637,-108.28177654948476,-339.16752099434086,-130.5567049227356
-146.81346162622128,-126.63201850498669,-78.30922557549187,-151.8973287547752
-269.00589829189687,-132.45924688462895,-859.7177414938387,-208.16903566720325
-792.0641903128277,-93.89973351163567,-363.02180646703886,-248.02780289756038
